checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
< 0 DM,6,critical account,radio/tv,1169,no savings,>= 7 yrs,4,male:single,none,4,real estate,67,none,own,2,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,48,existing paid back,radio/tv,5951,< 100 DM,1 <= x < 4 yrs,2,female:div/dep/mar,none,2,real estate,22,none,own,1,skilled,1,none,yes,Bad Risk
no checking account,12,critical account,education,2096,< 100 DM,4 <= x < 7 yrs,2,male:single,none,3,real estate,49,none,own,1,unskilled resident,2,none,yes,Good Risk
< 0 DM,42,existing paid back,furniture/equip,7882,< 100 DM,4 <= x < 7 yrs,2,male:single,guarantor,4,life insurance,45,none,for free,1,skilled,2,none,yes,Good Risk
< 0 DM,24,delay in past,car (new),4870,< 100 DM,1 <= x < 4 yrs,3,male:single,none,4,no property,53,none,for free,2,skilled,2,none,yes,Bad Risk
no checking account,36,existing paid back,education,9055,no savings,1 <= x < 4 yrs,2,male:single,none,4,no property,35,none,for free,1,unskilled resident,2,yes,yes,Good Risk
no checking account,24,existing paid back,furniture/equip,2835,500 <= x < 1000 DM,>= 7 yrs,3,male:single,none,4,life insurance,53,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,36,existing paid back,car (used),6948,< 100 DM,1 <= x < 4 yrs,2,male:single,none,2,car,35,none,rent,1,high qual/mgmt,1,yes,yes,Good Risk
no checking account,12,existing paid back,radio/tv,3059,>= 1000 DM,4 <= x < 7 yrs,2,male:divorced,none,4,real estate,61,none,own,1,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,30,critical account,car (new),5234,< 100 DM,unemployed,4,male:mar/wid,none,2,car,28,none,own,2,high qual/mgmt,1,none,yes,Bad Risk
0 <= x < 200 DM,12,existing paid back,car (new),1295,< 100 DM,< 1 yr,3,female:div/dep/mar,none,1,car,25,none,rent,1,skilled,1,none,yes,Bad Risk
< 0 DM,48,existing paid back,business,4308,< 100 DM,< 1 yr,3,female:div/dep/mar,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,Bad Risk
0 <= x < 200 DM,12,existing paid back,radio/tv,1567,< 100 DM,1 <= x < 4 yrs,1,female:div/dep/mar,none,1,car,22,none,own,1,skilled,1,yes,yes,Good Risk
< 0 DM,24,critical account,car (new),1199,< 100 DM,>= 7 yrs,4,male:single,none,4,car,60,none,own,2,unskilled resident,1,none,yes,Bad Risk
< 0 DM,15,existing paid back,car (new),1403,< 100 DM,1 <= x < 4 yrs,2,female:div/dep/mar,none,4,car,28,none,rent,1,skilled,1,none,yes,Good Risk
< 0 DM,24,existing paid back,radio/tv,1282,100 <= x < 500 DM,1 <= x < 4 yrs,4,female:div/dep/mar,none,2,car,32,none,own,1,unskilled resident,1,none,yes,Bad Risk
no checking account,24,critical account,radio/tv,2424,no savings,>= 7 yrs,4,male:single,none,4,life insurance,53,none,own,2,skilled,1,none,yes,Good Risk
< 0 DM,30,no credits/all paid,business,8072,no savings,< 1 yr,2,male:single,none,3,car,25,bank,own,3,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,24,existing paid back,car (used),12579,< 100 DM,>= 7 yrs,4,female:div/dep/mar,none,2,no property,44,none,for free,1,high qual/mgmt,1,yes,yes,Bad Risk
no checking account,24,existing paid back,radio/tv,3430,500 <= x < 1000 DM,>= 7 yrs,3,male:single,none,2,car,31,none,own,1,skilled,2,yes,yes,Good Risk
no checking account,9,critical account,car (new),2134,< 100 DM,1 <= x < 4 yrs,4,male:single,none,4,car,48,none,own,3,skilled,1,yes,yes,Good Risk
< 0 DM,6,existing paid back,radio/tv,2647,500 <= x < 1000 DM,1 <= x < 4 yrs,2,male:single,none,3,real estate,44,none,rent,1,skilled,2,none,yes,Good Risk
< 0 DM,10,critical account,car (new),2241,< 100 DM,< 1 yr,1,male:single,none,3,real estate,48,none,rent,2,unskilled resident,2,none,no,Good Risk
0 <= x < 200 DM,12,critical account,car (used),1804,100 <= x < 500 DM,< 1 yr,3,male:single,none,4,life insurance,44,none,own,1,skilled,1,none,yes,Good Risk
no checking account,10,critical account,furniture/equip,2069,no savings,1 <= x < 4 yrs,2,male:mar/wid,none,1,car,26,none,own,2,skilled,1,none,no,Good Risk
< 0 DM,6,existing paid back,furniture/equip,1374,< 100 DM,1 <= x < 4 yrs,1,male:single,none,2,real estate,36,bank,own,1,unskilled resident,1,yes,yes,Good Risk
no checking account,6,no credits/all paid,radio/tv,426,< 100 DM,>= 7 yrs,4,male:mar/wid,none,4,car,39,none,own,1,unskilled resident,1,none,yes,Good Risk
>= 200 DM,12,all paid back here,radio/tv,409,>= 1000 DM,1 <= x < 4 yrs,3,female:div/dep/mar,none,3,real estate,42,none,rent,2,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,7,existing paid back,radio/tv,2415,< 100 DM,1 <= x < 4 yrs,3,male:single,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,60,delay in past,business,6836,< 100 DM,>= 7 yrs,3,male:single,none,4,no property,63,none,own,2,skilled,1,yes,yes,Bad Risk
0 <= x < 200 DM,18,existing paid back,business,1913,>= 1000 DM,< 1 yr,3,male:mar/wid,none,3,real estate,36,bank,own,1,skilled,1,yes,yes,Good Risk
< 0 DM,24,existing paid back,furniture/equip,4020,< 100 DM,1 <= x < 4 yrs,2,male:single,none,2,car,27,stores,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,18,existing paid back,car (new),5866,100 <= x < 500 DM,1 <= x < 4 yrs,2,male:single,none,2,car,30,none,own,2,skilled,1,yes,yes,Good Risk
no checking account,12,critical account,business,1264,no savings,>= 7 yrs,4,male:single,none,4,no property,57,none,rent,1,unskilled resident,1,none,yes,Good Risk
>= 200 DM,12,existing paid back,furniture/equip,1474,< 100 DM,< 1 yr,4,female:div/dep/mar,none,1,life insurance,33,bank,own,1,high qual/mgmt,1,yes,yes,Good Risk
0 <= x < 200 DM,45,critical account,radio/tv,4746,< 100 DM,< 1 yr,4,male:single,none,2,life insurance,25,none,own,2,unskilled resident,1,none,yes,Bad Risk
no checking account,48,critical account,education,6110,< 100 DM,1 <= x < 4 yrs,1,male:single,none,3,no property,31,bank,for free,1,skilled,1,yes,yes,Good Risk
>= 200 DM,18,existing paid back,radio/tv,2100,< 100 DM,1 <= x < 4 yrs,4,male:single,co-applicant,2,real estate,37,stores,own,1,skilled,1,none,yes,Bad Risk
>= 200 DM,10,existing paid back,domestic appliances,1225,< 100 DM,1 <= x < 4 yrs,2,male:single,none,2,car,37,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,9,existing paid back,radio/tv,458,< 100 DM,1 <= x < 4 yrs,4,male:single,none,3,real estate,24,none,own,1,skilled,1,none,yes,Good Risk
no checking account,30,existing paid back,radio/tv,2333,500 <= x < 1000 DM,>= 7 yrs,4,male:single,none,2,car,30,bank,own,1,high qual/mgmt,1,none,yes,Good Risk
0 <= x < 200 DM,12,existing paid back,radio/tv,1158,500 <= x < 1000 DM,1 <= x < 4 yrs,3,male:divorced,none,1,car,26,none,own,1,skilled,1,yes,yes,Good Risk
0 <= x < 200 DM,18,delay in past,repairs,6204,< 100 DM,1 <= x < 4 yrs,2,male:single,none,4,real estate,44,none,own,1,unskilled resident,2,yes,yes,Good Risk
< 0 DM,30,critical account,car (used),6187,100 <= x < 500 DM,4 <= x < 7 yrs,1,male:mar/wid,none,4,car,24,none,rent,2,skilled,1,none,yes,Good Risk
< 0 DM,48,critical account,car (used),6143,< 100 DM,>= 7 yrs,4,female:div/dep/mar,none,4,no property,58,stores,for free,2,unskilled resident,1,none,yes,Bad Risk
no checking account,11,critical account,car (new),1393,< 100 DM,< 1 yr,4,female:div/dep/mar,none,4,car,35,none,own,2,high qual/mgmt,1,none,yes,Good Risk
no checking account,36,existing paid back,radio/tv,2299,500 <= x < 1000 DM,>= 7 yrs,4,male:single,none,4,car,39,none,own,1,skilled,1,none,yes,Good Risk
< 0 DM,6,existing paid back,car (used),1352,500 <= x < 1000 DM,unemployed,1,female:div/dep/mar,none,2,life insurance,23,none,rent,1,unemp/unskilled non-res,1,yes,yes,Good Risk
no checking account,11,critical account,car (new),7228,< 100 DM,1 <= x < 4 yrs,1,male:single,none,4,life insurance,39,none,own,2,unskilled resident,1,none,yes,Good Risk
no checking account,12,existing paid back,radio/tv,2073,100 <= x < 500 DM,1 <= x < 4 yrs,4,female:div/dep/mar,co-applicant,2,real estate,28,none,own,1,skilled,1,none,yes,Good Risk
0 <= x < 200 DM,24,delay in past,furniture/equip,2333,no savings,< 1 yr,4,male:single,none,2,life insurance,29,bank,own,1,unskilled resident,1,none,yes,Good Risk
0 <= x < 200 DM,27,delay in past,car (used),5965,< 100 DM,>= 7 yrs,1,male:single,none,2,car,30,none,own,2,high qual/mgmt,1,yes,yes,Good Risk
